Variables,mean,mcse,sd,n_eff,Rhat,data.5%,data.95%
(Intercept),6.96,0.02,4.04,32621,1,0.32,13.74
Age,-0.01,0,0.02,31669,1,-0.05,0.03
as.factor(Gender)1,0.75,0,0.52,30750,1,-0.12,1.61
Education,0.54,0,0.26,28627,1,0.11,0.97
as.factor(Illnesses)1,-2.7,0,0.74,28129,1,-3.92,-1.49
as.factor(Marital_status)1,1.05,0,0.62,27028,1,0.02,2.08
income,0.81,0,0.32,29856,1,0.28,1.34
as.factor(Employment)1,2.13,0.01,0.86,18988,1,0.71,3.54
as.factor(Employment)2,1.91,0.01,0.9,19445,1,0.43,3.38
Isolation_yesorno,-1.06,0,0.55,30042,1,-1.96,-0.16
FFMQ,0.19,0,0.02,27276,1,0.15,0.23
sigma,5.23,0,0.18,30225,1,4.94,5.53
